timestamp,model,concept_samples,seed,no_concepts,lr,7pt_train_acc,7pt_test_acc
2025-03-30 00:13:24.562651,resnext50,50,6,12,0.01,0.83,0.7
2025-03-30 00:13:24.562651,resnext50,50,6,12,0.01,0.84,0.75
2025-03-30 00:13:24.562651,resnext50,50,6,12,0.01,0.83,0.77
2025-03-30 00:13:24.562651,resnext50,50,6,12,0.01,0.77,0.69
2025-03-30 00:13:24.562651,resnext50,50,6,12,0.01,0.79,0.71
2025-03-30 00:13:24.562651,resnext50,50,6,12,0.01,0.79,0.68
2025-03-30 00:13:24.562651,resnext50,50,6,12,0.01,0.76,0.72
2025-03-30 00:13:24.562651,resnext50,50,6,12,0.01,0.79,0.65
2025-03-30 00:13:24.562651,resnext50,50,6,12,0.01,0.78,0.69
2025-03-30 00:13:24.562651,resnext50,50,6,12,0.01,0.78,0.78
2025-03-30 00:13:24.562651,resnext50,50,6,12,0.01,0.84,0.67
2025-03-30 00:13:24.562651,resnext50,50,6,12,0.01,0.7,0.56
2025-03-30 00:14:45.100346,resnext50,50,3,12,0.01,0.74,0.63
2025-03-30 00:14:45.100346,resnext50,50,3,12,0.01,0.73,0.65
2025-03-30 00:14:45.100346,resnext50,50,3,12,0.01,0.89,0.7
2025-03-30 00:14:45.100346,resnext50,50,3,12,0.01,0.82,0.59
2025-03-30 00:14:45.100346,resnext50,50,3,12,0.01,0.85,0.68
2025-03-30 00:14:45.100346,resnext50,50,3,12,0.01,0.76,0.57
2025-03-30 00:14:45.100346,resnext50,50,3,12,0.01,0.79,0.66
2025-03-30 00:14:45.100346,resnext50,50,3,12,0.01,0.82,0.6
2025-03-30 00:14:45.100346,resnext50,50,3,12,0.01,0.81,0.75
2025-03-30 00:14:45.100346,resnext50,50,3,12,0.01,0.76,0.65
2025-03-30 00:14:45.100346,resnext50,50,3,12,0.01,0.7,0.56
2025-03-30 00:14:45.100346,resnext50,50,3,12,0.01,0.73,0.68
2025-03-30 00:14:54.923519,resnext50,50,4,12,0.01,0.83,0.68
2025-03-30 00:14:54.923519,resnext50,50,4,12,0.01,0.79,0.65
2025-03-30 00:14:54.923519,resnext50,50,4,12,0.01,0.77,0.75
2025-03-30 00:14:54.923519,resnext50,50,4,12,0.01,0.79,0.73
2025-03-30 00:14:54.923519,resnext50,50,4,12,0.01,0.73,0.76
2025-03-30 00:14:54.923519,resnext50,50,4,12,0.01,0.71,0.69
2025-03-30 00:14:54.923519,resnext50,50,4,12,0.01,0.75,0.64
2025-03-30 00:14:54.923519,resnext50,50,4,12,0.01,0.77,0.68
2025-03-30 00:14:54.923519,resnext50,50,4,12,0.01,0.83,0.7
2025-03-30 00:14:54.923519,resnext50,50,4,12,0.01,0.72,0.6
2025-03-30 00:14:54.923519,resnext50,50,4,12,0.01,0.76,0.6
2025-03-30 00:14:54.923519,resnext50,50,4,12,0.01,0.74,0.67
2025-03-30 00:17:40.403347,resnext50,50,0,12,0.01,0.79,0.67
2025-03-30 00:17:40.403347,resnext50,50,0,12,0.01,0.77,0.67
2025-03-30 00:17:40.403347,resnext50,50,0,12,0.01,0.8,0.73
2025-03-30 00:17:40.403347,resnext50,50,0,12,0.01,0.7,0.65
2025-03-30 00:17:40.403347,resnext50,50,0,12,0.01,0.82,0.76
2025-03-30 00:17:40.403347,resnext50,50,0,12,0.01,0.71,0.64
2025-03-30 00:17:40.403347,resnext50,50,0,12,0.01,0.71,0.71
2025-03-30 00:17:40.403347,resnext50,50,0,12,0.01,0.78,0.69
2025-03-30 00:17:40.403347,resnext50,50,0,12,0.01,0.81,0.65
2025-03-30 00:17:40.403347,resnext50,50,0,12,0.01,0.7,0.62
2025-03-30 00:17:40.403347,resnext50,50,0,12,0.01,0.84,0.67
2025-03-30 00:17:40.403347,resnext50,50,0,12,0.01,0.71,0.65
2025-03-30 00:19:54.911135,resnext50,50,1,12,0.01,0.8,0.65
2025-03-30 00:19:54.911135,resnext50,50,1,12,0.01,0.71,0.68
2025-03-30 00:19:54.911135,resnext50,50,1,12,0.01,0.71,0.68
2025-03-30 00:19:54.911135,resnext50,50,1,12,0.01,0.73,0.67
2025-03-30 00:19:54.911135,resnext50,50,1,12,0.01,0.78,0.7
2025-03-30 00:19:54.911135,resnext50,50,1,12,0.01,0.73,0.55
2025-03-30 00:19:54.911135,resnext50,50,1,12,0.01,0.68,0.67
2025-03-30 00:19:54.911135,resnext50,50,1,12,0.01,0.8,0.65
2025-03-30 00:19:54.911135,resnext50,50,1,12,0.01,0.71,0.76
2025-03-30 00:19:54.911135,resnext50,50,1,12,0.01,0.69,0.6
2025-03-30 00:19:54.911135,resnext50,50,1,12,0.01,0.69,0.66
2025-03-30 00:19:54.911135,resnext50,50,1,12,0.01,0.76,0.62
2025-03-30 00:20:24.136129,resnext50,50,5,12,0.01,0.72,0.71
2025-03-30 00:20:24.136129,resnext50,50,5,12,0.01,0.81,0.7
2025-03-30 00:20:24.136129,resnext50,50,5,12,0.01,0.74,0.74
2025-03-30 00:20:24.136129,resnext50,50,5,12,0.01,0.86,0.8
2025-03-30 00:20:24.136129,resnext50,50,5,12,0.01,0.79,0.61
2025-03-30 00:20:24.136129,resnext50,50,5,12,0.01,0.75,0.59
2025-03-30 00:20:24.136129,resnext50,50,5,12,0.01,0.76,0.65
2025-03-30 00:20:24.136129,resnext50,50,5,12,0.01,0.74,0.69
2025-03-30 00:20:24.136129,resnext50,50,5,12,0.01,0.75,0.76
2025-03-30 00:20:24.136129,resnext50,50,5,12,0.01,0.71,0.64
2025-03-30 00:20:24.136129,resnext50,50,5,12,0.01,0.78,0.65
2025-03-30 00:20:24.136129,resnext50,50,5,12,0.01,0.77,0.62
2025-03-30 00:23:42.544120,resnet50,50,3,12,0.01,0.8,0.68
2025-03-30 00:23:42.544120,resnet50,50,3,12,0.01,0.77,0.68
2025-03-30 00:23:42.544120,resnet50,50,3,12,0.01,0.87,0.75
2025-03-30 00:23:42.544120,resnet50,50,3,12,0.01,0.89,0.74
2025-03-30 00:23:42.544120,resnet50,50,3,12,0.01,0.86,0.69
2025-03-30 00:23:42.544120,resnet50,50,3,12,0.01,0.76,0.56
2025-03-30 00:23:42.544120,resnet50,50,3,12,0.01,0.78,0.71
2025-03-30 00:23:42.544120,resnet50,50,3,12,0.01,0.88,0.52
2025-03-30 00:23:42.544120,resnet50,50,3,12,0.01,0.83,0.69
2025-03-30 00:23:42.544120,resnet50,50,3,12,0.01,0.77,0.65
2025-03-30 00:23:42.544120,resnet50,50,3,12,0.01,0.82,0.68
2025-03-30 00:23:42.544120,resnet50,50,3,12,0.01,0.79,0.67
2025-03-30 00:24:38.937543,resnet50,50,6,12,0.01,0.83,0.69
2025-03-30 00:24:38.937543,resnet50,50,6,12,0.01,0.87,0.82
2025-03-30 00:24:38.937543,resnet50,50,6,12,0.01,0.81,0.74
2025-03-30 00:24:38.937543,resnet50,50,6,12,0.01,0.76,0.72
2025-03-30 00:24:38.937543,resnet50,50,6,12,0.01,0.82,0.7
2025-03-30 00:24:38.937543,resnet50,50,6,12,0.01,0.79,0.57
2025-03-30 00:24:38.937543,resnet50,50,6,12,0.01,0.81,0.72
2025-03-30 00:24:38.937543,resnet50,50,6,12,0.01,0.8,0.7
2025-03-30 00:24:38.937543,resnet50,50,6,12,0.01,0.78,0.65
2025-03-30 00:24:38.937543,resnet50,50,6,12,0.01,0.84,0.71
2025-03-30 00:24:38.937543,resnet50,50,6,12,0.01,0.85,0.61
2025-03-30 00:24:38.937543,resnet50,50,6,12,0.01,0.73,0.64
2025-03-30 00:29:36.505724,resnet50,50,1,12,0.01,0.83,0.68
2025-03-30 00:29:36.505724,resnet50,50,1,12,0.01,0.8,0.59
2025-03-30 00:29:36.505724,resnet50,50,1,12,0.01,0.87,0.77
2025-03-30 00:29:36.505724,resnet50,50,1,12,0.01,0.82,0.71
2025-03-30 00:29:36.505724,resnet50,50,1,12,0.01,0.79,0.74
2025-03-30 00:29:36.505724,resnet50,50,1,12,0.01,0.79,0.7
2025-03-30 00:29:36.505724,resnet50,50,1,12,0.01,0.83,0.72
2025-03-30 00:29:36.505724,resnet50,50,1,12,0.01,0.79,0.7
2025-03-30 00:29:36.505724,resnet50,50,1,12,0.01,0.8,0.71
2025-03-30 00:29:36.505724,resnet50,50,1,12,0.01,0.78,0.7
2025-03-30 00:29:36.505724,resnet50,50,1,12,0.01,0.79,0.72
2025-03-30 00:29:36.505724,resnet50,50,1,12,0.01,0.81,0.61
2025-03-30 00:30:33.649772,resnet50,50,4,12,0.01,0.89,0.72
2025-03-30 00:30:33.649772,resnet50,50,4,12,0.01,0.8,0.68
2025-03-30 00:30:33.649772,resnet50,50,4,12,0.01,0.78,0.72
2025-03-30 00:30:33.649772,resnet50,50,4,12,0.01,0.86,0.75
2025-03-30 00:30:33.649772,resnet50,50,4,12,0.01,0.83,0.76
2025-03-30 00:30:33.649772,resnet50,50,4,12,0.01,0.73,0.63
2025-03-30 00:30:33.649772,resnet50,50,4,12,0.01,0.82,0.62
2025-03-30 00:30:33.649772,resnet50,50,4,12,0.01,0.81,0.6
2025-03-30 00:30:33.649772,resnet50,50,4,12,0.01,0.85,0.72
2025-03-30 00:30:33.649772,resnet50,50,4,12,0.01,0.74,0.59
2025-03-30 00:30:33.649772,resnet50,50,4,12,0.01,0.75,0.67
2025-03-30 00:30:33.649772,resnet50,50,4,12,0.01,0.81,0.7
2025-03-30 00:32:19.406427,resnext50,50,2,12,0.01,0.73,0.78
2025-03-30 00:32:19.406427,resnext50,50,2,12,0.01,0.65,0.6
2025-03-30 00:32:19.406427,resnext50,50,2,12,0.01,0.74,0.76
2025-03-30 00:32:19.406427,resnext50,50,2,12,0.01,0.7,0.68
2025-03-30 00:32:19.406427,resnext50,50,2,12,0.01,0.69,0.66
2025-03-30 00:32:19.406427,resnext50,50,2,12,0.01,0.7,0.67
2025-03-30 00:32:19.406427,resnext50,50,2,12,0.01,0.77,0.6
2025-03-30 00:32:19.406427,resnext50,50,2,12,0.01,0.84,0.65
2025-03-30 00:32:19.406427,resnext50,50,2,12,0.01,0.69,0.63
2025-03-30 00:32:19.406427,resnext50,50,2,12,0.01,0.69,0.66
2025-03-30 00:32:19.406427,resnext50,50,2,12,0.01,0.74,0.63
2025-03-30 00:32:19.406427,resnext50,50,2,12,0.01,0.7,0.63
2025-03-30 00:36:00.176894,resnet50,50,0,12,0.01,0.79,0.72
2025-03-30 00:36:00.176894,resnet50,50,0,12,0.01,0.84,0.71
2025-03-30 00:36:00.176894,resnet50,50,0,12,0.01,0.86,0.71
2025-03-30 00:36:00.176894,resnet50,50,0,12,0.01,0.81,0.61
2025-03-30 00:36:00.176894,resnet50,50,0,12,0.01,0.82,0.77
2025-03-30 00:36:00.176894,resnet50,50,0,12,0.01,0.77,0.61
2025-03-30 00:36:00.176894,resnet50,50,0,12,0.01,0.78,0.58
2025-03-30 00:36:00.176894,resnet50,50,0,12,0.01,0.82,0.68
2025-03-30 00:36:00.176894,resnet50,50,0,12,0.01,0.76,0.68
2025-03-30 00:36:00.176894,resnet50,50,0,12,0.01,0.8,0.6
2025-03-30 00:36:00.176894,resnet50,50,0,12,0.01,0.75,0.64
2025-03-30 00:36:00.176894,resnet50,50,0,12,0.01,0.74,0.55
2025-03-30 00:39:50.566515,resnet50,50,2,12,0.01,0.77,0.68
2025-03-30 00:39:50.566515,resnet50,50,2,12,0.01,0.81,0.7
2025-03-30 00:39:50.566515,resnet50,50,2,12,0.01,0.89,0.74
2025-03-30 00:39:50.566515,resnet50,50,2,12,0.01,0.82,0.73
2025-03-30 00:39:50.566515,resnet50,50,2,12,0.01,0.82,0.76
2025-03-30 00:39:50.566515,resnet50,50,2,12,0.01,0.79,0.58
2025-03-30 00:39:50.566515,resnet50,50,2,12,0.01,0.81,0.72
2025-03-30 00:39:50.566515,resnet50,50,2,12,0.01,0.82,0.61
2025-03-30 00:39:50.566515,resnet50,50,2,12,0.01,0.81,0.61
2025-03-30 00:39:50.566515,resnet50,50,2,12,0.01,0.81,0.62
2025-03-30 00:39:50.566515,resnet50,50,2,12,0.01,0.81,0.59
2025-03-30 00:39:50.566515,resnet50,50,2,12,0.01,0.8,0.57
2025-03-30 00:40:43.257244,resnet50,50,5,12,0.01,0.82,0.66
2025-03-30 00:40:43.257244,resnet50,50,5,12,0.01,0.81,0.76
2025-03-30 00:40:43.257244,resnet50,50,5,12,0.01,0.81,0.69
2025-03-30 00:40:43.257244,resnet50,50,5,12,0.01,0.81,0.82
2025-03-30 00:40:43.257244,resnet50,50,5,12,0.01,0.77,0.62
2025-03-30 00:40:43.257244,resnet50,50,5,12,0.01,0.73,0.66
2025-03-30 00:40:43.257244,resnet50,50,5,12,0.01,0.74,0.64
2025-03-30 00:40:43.257244,resnet50,50,5,12,0.01,0.77,0.7
2025-03-30 00:40:43.257244,resnet50,50,5,12,0.01,0.77,0.68
2025-03-30 00:40:43.257244,resnet50,50,5,12,0.01,0.76,0.65
2025-03-30 00:40:43.257244,resnet50,50,5,12,0.01,0.76,0.71
2025-03-30 00:40:43.257244,resnet50,50,5,12,0.01,0.79,0.67
2025-03-30 00:42:09.914745,resnet152,50,6,12,0.01,0.81,0.71
2025-03-30 00:42:09.914745,resnet152,50,6,12,0.01,0.86,0.8
2025-03-30 00:42:09.914745,resnet152,50,6,12,0.01,0.82,0.82
2025-03-30 00:42:09.914745,resnet152,50,6,12,0.01,0.86,0.72
2025-03-30 00:42:09.914745,resnet152,50,6,12,0.01,0.84,0.74
2025-03-30 00:42:09.914745,resnet152,50,6,12,0.01,0.76,0.64
2025-03-30 00:42:09.914745,resnet152,50,6,12,0.01,0.89,0.79
2025-03-30 00:42:09.914745,resnet152,50,6,12,0.01,0.75,0.61
2025-03-30 00:42:09.914745,resnet152,50,6,12,0.01,0.8,0.71
2025-03-30 00:42:09.914745,resnet152,50,6,12,0.01,0.79,0.74
2025-03-30 00:42:09.914745,resnet152,50,6,12,0.01,0.8,0.63
2025-03-30 00:42:09.914745,resnet152,50,6,12,0.01,0.77,0.65
2025-03-30 00:49:44.022361,resnet152,50,3,12,0.01,0.73,0.64
2025-03-30 00:49:44.022361,resnet152,50,3,12,0.01,0.7,0.6
2025-03-30 00:49:44.022361,resnet152,50,3,12,0.01,0.87,0.67
2025-03-30 00:49:44.022361,resnet152,50,3,12,0.01,0.83,0.7
2025-03-30 00:49:44.022361,resnet152,50,3,12,0.01,0.88,0.73
2025-03-30 00:49:44.022361,resnet152,50,3,12,0.01,0.74,0.59
2025-03-30 00:49:44.022361,resnet152,50,3,12,0.01,0.79,0.72
2025-03-30 00:49:44.022361,resnet152,50,3,12,0.01,0.8,0.64
2025-03-30 00:49:44.022361,resnet152,50,3,12,0.01,0.79,0.76
2025-03-30 00:49:44.022361,resnet152,50,3,12,0.01,0.81,0.65
2025-03-30 00:49:44.022361,resnet152,50,3,12,0.01,0.77,0.68
2025-03-30 00:49:44.022361,resnet152,50,3,12,0.01,0.71,0.71
2025-03-30 00:51:49.011531,resnet152,50,4,12,0.01,0.86,0.64
2025-03-30 00:51:49.011531,resnet152,50,4,12,0.01,0.84,0.7
2025-03-30 00:51:49.011531,resnet152,50,4,12,0.01,0.87,0.8
2025-03-30 00:51:49.011531,resnet152,50,4,12,0.01,0.81,0.77
2025-03-30 00:51:49.011531,resnet152,50,4,12,0.01,0.82,0.72
2025-03-30 00:51:49.011531,resnet152,50,4,12,0.01,0.8,0.72
2025-03-30 00:51:49.011531,resnet152,50,4,12,0.01,0.79,0.68
2025-03-30 00:51:49.011531,resnet152,50,4,12,0.01,0.81,0.62
2025-03-30 00:51:49.011531,resnet152,50,4,12,0.01,0.89,0.77
