,backbone_model,is_train_clf,ice_clf,reducer,ICE no concepts,ice count,test_acc_mean,test_acc_std,test_acc,ice_acc_mean,ice_acc_std,ice_acc,woe_acc_mean,woe_acc_std,woe_acc,test_sensitivity_mean,test_sensitivity_std,test_sensitivity,ice_sensitivity_mean,ice_sensitivity_std,ice_sensitivity,woe_sensitivity_mean,woe_sensitivity_std,woe_sensitivity,test_precision_mean,test_precision_std,test_precision,ice_precision_mean,ice_precision_std,ice_precision,woe_precision_mean,woe_precision_std,woe_precision,test_f1_score_mean,test_f1_score_std,test_f1_score,ice_f1_score_mean,ice_f1_score_std,ice_f1_score,woe_f1_score_mean,woe_f1_score_std,woe_f1_score
0,resnet50,False,Not-Applicable,NMF,4,20,79.54,5.45,$79.54 \pm 5.45$,49.71,4.88,$49.71 \pm 4.88$,64.64,6.05,$64.64 \pm 6.05$,85.33,6.2,$85.33 \pm 6.2$,80.83,22.55,$80.83 \pm 22.55$,72.92,9.78,$72.92 \pm 9.78$,83.08,5.98,$83.08 \pm 5.98$,62.63,14.15,$62.63 \pm 14.15$,74.93,8.62,$74.93 \pm 8.62$,84.04,5.01,$84.04 \pm 5.01$,66.43,6.79,$66.43 \pm 6.79$,73.19,5.2,$73.19 \pm 5.2$
1,resnet50,True,ridge,NMF,4,20,79.54,5.45,$79.54 \pm 5.45$,59.36,3.84,$59.36 \pm 3.84$,64.64,6.05,$64.64 \pm 6.05$,85.33,6.2,$85.33 \pm 6.2$,75.08,19.49,$75.08 \pm 19.49$,72.92,9.78,$72.92 \pm 9.78$,83.08,5.98,$83.08 \pm 5.98$,71.06,12.94,$71.06 \pm 12.94$,74.93,8.62,$74.93 \pm 8.62$,84.04,5.01,$84.04 \pm 5.01$,69.83,7.98,$69.83 \pm 7.98$,73.19,5.2,$73.19 \pm 5.2$
2,resnet50,True,gnb,NMF,4,20,79.54,5.45,$79.54 \pm 5.45$,64.54,6.06,$64.54 \pm 6.06$,64.64,6.05,$64.64 \pm 6.05$,85.33,6.2,$85.33 \pm 6.2$,72.58,10.05,$72.58 \pm 10.05$,72.92,9.78,$72.92 \pm 9.78$,83.08,5.98,$83.08 \pm 5.98$,75.03,8.64,$75.03 \pm 8.64$,74.93,8.62,$74.93 \pm 8.62$,84.04,5.01,$84.04 \pm 5.01$,73.05,5.32,$73.05 \pm 5.32$,73.19,5.2,$73.19 \pm 5.2$
3,resnet50,True,logistic,NMF,4,20,79.54,5.45,$79.54 \pm 5.45$,63.04,4.27,$63.04 \pm 4.27$,64.64,6.05,$64.64 \pm 6.05$,85.33,6.2,$85.33 \pm 6.2$,75.42,16.5,$75.42 \pm 16.5$,72.92,9.78,$72.92 \pm 9.78$,83.08,5.98,$83.08 \pm 5.98$,71.77,11.12,$71.77 \pm 11.12$,74.93,8.62,$74.93 \pm 8.62$,84.04,5.01,$84.04 \pm 5.01$,71.51,6.91,$71.51 \pm 6.91$,73.19,5.2,$73.19 \pm 5.2$
4,resnet50,False,Not-Applicable,NMF,5,20,79.54,5.45,$79.54 \pm 5.45$,60.29,5.57,$60.29 \pm 5.57$,70.39,5.07,$70.39 \pm 5.07$,85.33,6.2,$85.33 \pm 6.2$,81.92,15.14,$81.92 \pm 15.14$,71.58,8.68,$71.58 \pm 8.68$,83.08,5.98,$83.08 \pm 5.98$,66.24,10.58,$66.24 \pm 10.58$,80.73,5.94,$80.73 \pm 5.94$,84.04,5.01,$84.04 \pm 5.01$,71.55,4.99,$71.55 \pm 4.99$,75.42,4.32,$75.42 \pm 4.32$
5,resnet50,True,ridge,NMF,5,20,79.54,5.45,$79.54 \pm 5.45$,68.61,3.97,$68.61 \pm 3.97$,70.39,5.07,$70.39 \pm 5.07$,85.33,6.2,$85.33 \pm 6.2$,78.42,12.58,$78.42 \pm 12.58$,71.58,8.68,$71.58 \pm 8.68$,83.08,5.98,$83.08 \pm 5.98$,75.58,8.67,$75.58 \pm 8.67$,80.73,5.94,$80.73 \pm 5.94$,84.04,5.01,$84.04 \pm 5.01$,75.73,3.32,$75.73 \pm 3.32$,75.42,4.32,$75.42 \pm 4.32$
6,resnet50,True,gnb,NMF,5,20,79.54,5.45,$79.54 \pm 5.45$,70.39,5.11,$70.39 \pm 5.11$,70.39,5.07,$70.39 \pm 5.07$,85.33,6.2,$85.33 \pm 6.2$,71.42,8.77,$71.42 \pm 8.77$,71.58,8.68,$71.58 \pm 8.68$,83.08,5.98,$83.08 \pm 5.98$,80.87,6.02,$80.87 \pm 6.02$,80.73,5.94,$80.73 \pm 5.94$,84.04,5.01,$84.04 \pm 5.01$,75.38,4.33,$75.38 \pm 4.33$,75.42,4.32,$75.42 \pm 4.32$
7,resnet50,True,logistic,NMF,5,20,79.54,5.45,$79.54 \pm 5.45$,71.25,3.88,$71.25 \pm 3.88$,70.39,5.07,$70.39 \pm 5.07$,85.33,6.2,$85.33 \pm 6.2$,79.08,9.23,$79.08 \pm 9.23$,71.58,8.68,$71.58 \pm 8.68$,83.08,5.98,$83.08 \pm 5.98$,77.64,7.06,$77.64 \pm 7.06$,80.73,5.94,$80.73 \pm 5.94$,84.04,5.01,$84.04 \pm 5.01$,77.65,2.71,$77.65 \pm 2.71$,75.42,4.32,$75.42 \pm 4.32$
8,resnet50,False,Not-Applicable,PCA,5,20,79.54,5.45,$79.54 \pm 5.45$,65.32,4.7,$65.32 \pm 4.7$,72.64,5.45,$72.64 \pm 5.45$,85.33,6.2,$85.33 \pm 6.2$,82.17,11.98,$82.17 \pm 11.98$,75.75,7.84,$75.75 \pm 7.84$,83.08,5.98,$83.08 \pm 5.98$,70.05,9.66,$70.05 \pm 9.66$,80.27,5.28,$80.27 \pm 5.28$,84.04,5.01,$84.04 \pm 5.01$,74.37,3.73,$74.37 \pm 3.73$,77.58,3.99,$77.58 \pm 3.99$
9,resnet50,True,ridge,PCA,5,20,79.54,5.45,$79.54 \pm 5.45$,70.75,4.24,$70.75 \pm 4.24$,72.64,5.45,$72.64 \pm 5.45$,85.33,6.2,$85.33 \pm 6.2$,81.33,11.93,$81.33 \pm 11.93$,75.75,7.84,$75.75 \pm 7.84$,83.08,5.98,$83.08 \pm 5.98$,77.24,7.17,$77.24 \pm 7.17$,80.27,5.28,$80.27 \pm 5.28$,84.04,5.01,$84.04 \pm 5.01$,78.31,4.41,$78.31 \pm 4.41$,77.58,3.99,$77.58 \pm 3.99$
