timestamp,model,lr,concept_samples,seed,no_concepts,woe_acc,woe_acc_binary,woe_sensitivity,woe_specificity,woe_precision,woe_f1_score,woe_time_cost,feature_type,pcbm_classifier,woe_clf
2025-03-30 13:48:15.219457,resnext50,0.01,50,6,12,76.42857142857142,85.0,81.66666666666667,87.5,83.05084745762711,82.35294117647058,114.95735168457031,mean,ridge,original
2025-03-30 13:52:59.336533,resnet50,0.01,50,6,12,70.71428571428572,82.85714285714286,90.0,77.5,75.0,81.81818181818183,112.36305856704712,mean,ridge,original
2025-03-30 13:58:50.727952,resnet152,0.01,50,6,12,70.0,82.85714285714286,85.0,81.25,77.27272727272727,80.95238095238095,121.1911928653717,mean,ridge,original
2025-03-30 14:17:29.827884,resnext50,0.01,50,0,12,80.0,89.28571428571429,81.66666666666667,95.0,92.45283018867924,86.72566371681415,119.74898290634155,mean,ridge,original
2025-03-30 14:21:38.912782,resnext50,0.01,50,4,12,77.85714285714286,88.57142857142857,90.0,87.5,84.375,87.0967741935484,122.89609241485596,mean,ridge,original
2025-03-30 14:22:31.363915,resnet50,0.01,50,0,12,77.85714285714286,86.42857142857143,85.0,87.5,83.60655737704919,84.29752066115704,119.63598346710205,mean,ridge,original
2025-03-30 14:24:57.705176,resnext50,0.01,50,3,12,77.14285714285715,84.28571428571429,80.0,87.5,82.75862068965517,81.35593220338983,125.11276412010193,mean,ridge,original
2025-03-30 14:26:55.559881,resnet50,0.01,50,4,12,75.71428571428571,84.28571428571429,90.0,80.0,77.14285714285715,83.07692307692307,120.80635380744934,mean,ridge,original
2025-03-30 14:28:54.125013,resnet152,0.01,50,0,12,77.14285714285715,85.71428571428571,88.33333333333333,83.75,80.3030303030303,84.12698412698413,129.39209413528442,mean,ridge,original
2025-03-30 14:30:05.283693,resnet50,0.01,50,3,12,69.28571428571428,79.28571428571428,81.66666666666667,77.5,73.13432835820896,77.16535433070867,120.74022388458252,mean,ridge,original
2025-03-30 14:32:07.315053,resnext50,0.01,50,10,12,84.28571428571429,92.14285714285714,90.0,93.75,91.52542372881356,90.7563025210084,113.21471667289734,mean,ridge,original
2025-03-30 14:33:26.173303,resnet152,0.01,50,4,12,75.71428571428571,89.28571428571429,86.66666666666667,91.25,88.13559322033898,87.3949579831933,129.21969890594482,mean,ridge,original
2025-03-30 14:36:32.231913,resnet152,0.01,50,3,12,72.85714285714285,85.0,76.66666666666667,91.25,86.79245283018868,81.41592920353983,128.75150871276855,mean,ridge,original
2025-03-30 14:36:49.213811,resnet50,0.01,50,10,12,73.57142857142858,87.85714285714286,86.66666666666667,88.75,85.24590163934425,85.95041322314049,111.82660698890686,mean,ridge,original
2025-03-30 14:42:21.283731,resnext50,0.01,50,1,12,70.0,79.28571428571428,78.33333333333333,80.0,74.60317460317461,76.42276422764228,116.88216662406921,mean,ridge,original
2025-03-30 14:42:39.869811,resnet152,0.01,50,10,12,73.57142857142858,85.0,81.66666666666667,87.5,83.05084745762711,82.35294117647058,119.91863918304443,mean,ridge,original
2025-03-30 14:43:24.517045,resnext50,0.01,50,5,12,80.71428571428572,87.14285714285714,85.0,88.75,85.0,85.0,118.16985487937927,mean,ridge,original
2025-03-30 14:47:16.828039,resnet50,0.01,50,1,12,71.42857142857143,81.42857142857143,80.0,82.5,77.41935483870968,78.68852459016394,116.8755292892456,mean,ridge,original
